job,answer
tabacs,commerce de détail
empl. T. L.,"employés pour tous,célibataires"
sténo-dactyl.,arts graphiques
empl. post.,"employés pour tous,célibataires"
repr.,commerce de détail
journal.,arts graphiques
prof.,bureaux de consultation
voyag.,transports
mécanic.,réparations
pension,assurances privées
coiff.,commerce de détail
industr.,industrie chimique
électr.,"gaz,eau,éléctricité"
ag. de police,administration publique
fleuriste,commerce de détail
cuisinier,"hôtellerie,restauration"
cond. trams,transports
cordonn.,industrie textile
cordonnier,"vêtements, lingerie,chaussures,literies"
lingère,"vêtements, lingerie,chaussures,literies"
agence d'arrondissem.,"agences,locations,consultations"
sommelier,"hôtellerie,restauration"
archit.,"construction,charpenterie"
repass,industrie textile
employé postal,administration publique
ében.,"bois,liège,meubles"
repass.,industrie textile
blanchisseuse,employées pour le ménage et la ferme
liftier,"hôtellerie,restauration"
coiffeur,commerce de détail
ling.,"vêtements, lingerie,chaussures,literies"
technicien C.F.F.,transports
empl. C.F.F.,transports
cordonn.,arts graphiques
antiq.,commerce de détail
tapissière,industrie textile
meubles,"bois,liège,meubles"
commis de bureau,bureaux de consultation
tapiss.,"bois,liège,meubles"
mécanic.,réparations
chauffage,"gaz,eau,éléctricité"
expéd.,transports
lithog.,arts graphiques
régente,administration publique
cuirs,industrie textile
tapissier,"bois,liège,meubles"
gypserie,pierre et terre
terrassier,"construction,charpenterie"
prim.,industrie du papier
institutrice,"agences,locations,consultations"
institut.,administration publique
ferbl.,industrie des métaux
rent.,"affaires immobilières,location"
négociant,commerce de gros
cout.,industrie textile
télégr.,transports
gérant,"agences,locations,consultations"
médecin,"agences,locations,consultations"
gvpsier,réparations
correcteur,arts graphiques
cond. typo.,"hôtellerie,restauration"
nég.,"banques,établissements financiers"
cordonn.,industrie textile
primeurs,produits alimentaires
terrassier,"construction,charpenterie"
manœuv.,transports
cartes illustr.,arts graphiques
horloger,horlogerie
réparat. opticien,réparations
planelliste,"construction,charpenterie"
méd.,"agences,locations,consultations"
emp. postal,administration publique
serrur.,industrie des métaux
électric.,"gaz,eau,éléctricité"
nég.,"banques,établissements financiers"
cimenteur,pierre et terre
serrur,industrie des métaux
entrep,"agences,locations,consultations"
taill.,industrie textile
chaussures,"vêtements, lingerie,chaussures,literies"
menuis.,"bois,liège,meubles"
journalier,"journaliers,entretien"
contre-m.,horlogerie
peintre,arts graphiques
artiste,arts graphiques
primeurs,produits alimentaires
cond. de travaux,"construction,charpenterie"
manœuv.,"journaliers,entretien"
procureur général,administration publique
tabacs,commerce de détail
nég.,"banques,établissements financiers"
contrem. service des eaux,"gaz,eau,éléctricité"
journal.,arts graphiques
cuisin.,produits alimentaires
maît. de classe,bureaux de consultation
cout.,"vêtements, lingerie,chaussures,literies"
pensionnat,"agences,locations,consultations"
magasin.,commerce de détail
serrurier,industrie des métaux
peintre,arts graphiques
anc. cafetier,"hôtellerie,restauration"
cout.,"construction,charpenterie"
tailleur,"vêtements, lingerie,chaussures,literies"
voiturier,transports
agent des U. C.,administration publique
sage-femme,employées pour le ménage et la ferme
vendeuse,commerce de détail
dom.,employées pour le ménage et la ferme
ingén.,industrie chimique
percepteur,administration publique
postill.,réparations
lingère,"vêtements, lingerie,chaussures,literies"
étud.,"agences,locations,consultations"
nég.,"banques,établissements financiers"
prof. de violon,arts graphiques
manœuvre C. F. F.,transports
électr.,"gaz,eau,éléctricité"
caiss.,commerce de détail
voyag.,transports
tricotages,industrie textile
violon.,arts graphiques
ébén.,"bois,liège,meubles"
ingèn.,industrie chimique
gérante,"agences,locations,consultations"
négoc,commerce de gros
direct.,administration publique
fourrures,"vêtements, lingerie,chaussures,literies"
repass.,industrie textile
g.-malade,"journalières,entretien"
infirmière,employées pour le ménage et la ferme
avocat,bureaux de consultation
institutrice,"agences,locations,consultations"
médecin,"agences,locations,consultations"
avocats,"agences,locations,consultations"
étudiante,administration publique
ingénieur,industrie chimique
primeurs,produits alimentaires
méc. dentiste,réparations
re,réparations
sentant,"bois,liège,meubles"
gyps.,transports
camion.,transports
not.,réparations
horloger,horlogerie
garde-malade,employées pour le ménage et la ferme
employée,employées pour le ménage et la ferme
horlog,horlogerie
cout.,"construction,charpenterie"
relieur,industrie du papier
employé trams,transports
institut.,administration publique
pharmac.,industrie chimique
vitrier,"construction,charpenterie"
chauff. d'auto,transports
music.,arts graphiques
coiffeur,commerce de détail
cordonnier,"vêtements, lingerie,chaussures,literies"
blanch.,industrie textile
coiffeurs-parfumeurs,commerce de détail
cordonnier,"vêtements, lingerie,chaussures,literies"
ling.,"vêtements, lingerie,chaussures,literies"
emp. banque,"banques,établissements financiers"
menuis.,"construction,charpenterie"
nég.,"banques,établissements financiers"
médecin,"agences,locations,consultations"
appar.,réparations
peintre,arts graphiques
carreleur,"construction,charpenterie"
repr.,commerce de détail
ferblantier,industrie des métaux
ferblant.,industrie des métaux
laveur,"journaliers,entretien"
électr.,"gaz,eau,éléctricité"
d de mag.,commerce de détail
taill.,industrie textile
épic.,produits alimentaires
entrepr.,"construction,charpenterie"
ag. de police,administration publique
représ.,commerce de détail
professeur-rédacteur,bureaux de consultation
technicien,bureaux de consultation
parqueteur,"bois,liège,meubles"
chauffeur C. F.,transports
secrét. C. F. F.,bureaux de consultation
tailleur,"vêtements, lingerie,chaussures,literies"
ferblant.,industrie des métaux
nég.,"banques,établissements financiers"
prof. de musique,arts graphiques
empl. téléph.,"gaz,eau,éléctricité"
électricien,"gaz,eau,éléctricité"
chapelier,"vêtements, lingerie,chaussures,literies"
cond. trams,transports
électricien,"gaz,eau,éléctricité"
port.,transports
comm. CFF.,transports
m. coutur.,industrie textile
tailleur p. dames,"vêtements, lingerie,chaussures,literies"
couvreur,"construction,charpenterie"
institutrice,"agences,locations,consultations"
emp. bur.,"employés pour tous,célibataires"
tapissier,"bois,liège,meubles"
mécanic. CFF,transports
cuisinière,"hôtellerie,restauration"
brigadier de police,administration publique
pêcheur,"journaliers,entretien"
gouv.,administration publique
chef d’institution,administration publique
reprès.,commerce de détail
commerc.,commerce de détail
bur. tech.,bureaux de consultation
voyag.,transports
conduct. trams,transports
maréchal,réparations
journal.,arts graphiques
ménag,employées pour le ménage et la ferme
emp.,"employés pour tous,célibataires"
cordonnier,"vêtements, lingerie,chaussures,literies"
agent d'aff.,"agences,locations,consultations"
cond. CFF.,transports
télégraphiste,"agences,locations,consultations"
gardien,"journaliers,entretien"
chauff,transports
ferbl.,industrie des métaux
laitier,produits alimentaires
pension,assurances privées
ingén.,industrie chimique
dessinateur,arts graphiques
retraité,administration publique
architecte,"construction,charpenterie"
techn.,"agences,locations,consultations"
sage-femme,employées pour le ménage et la ferme
professeur,"agences,locations,consultations"
juge cantonal,administration publique
gref. du Tribunal,administration publique
étudi.,"agences,locations,consultations"
notaire,"agences,locations,consultations"
étudi.,"agences,locations,consultations"
ingénieur CFF.,transports
dactyl.,arts graphiques
médecin,"agences,locations,consultations"
sténogr..,arts graphiques
fabr.,industrie textile
confiseur,produits alimentaires
jardin.,"journaliers,entretien"
emp. de banq.,"banques,établissements financiers"
jardin.,"journaliers,entretien"
emp. B.C.V.,"banques,établissements financiers"
fils,industrie des métaux
tapissière,industrie textile
empaillé,
march.,commerce de détail
emballeur,commerce de détail
repass.,industrie textile
vend.,commerce de détail
blanch.,industrie textile
éditeur,arts graphiques
cordon.,"vêtements, lingerie,chaussures,literies"
dactyl.,arts graphiques
attaché chancellerie,administration publique
ciment.,pierre et terre
laitier,produits alimentaires
vitrier,"construction,charpenterie"
journal.,arts graphiques
ag. de sûreté,administration publique
cordonn.,industrie textile
chauffeur,transports
institutr.,administration publique
expert des denrées,produits alimentaires
m. lingère,"vêtements, lingerie,chaussures,literies"
agriculteur,employées pour le ménage et la ferme
taill.,industrie du papier
charretier,transports
médecin,"agences,locations,consultations"
m. de piano,arts graphiques
horlogère,horlogerie
diacon.,administration publique
m’d’hôtel,"hôtellerie,restauration"
professeur,"agences,locations,consultations"
fleuriste,commerce de détail
ingénieur,industrie chimique
fumiste,industrie du papier
cond. T. L.,transports
chef de réseau,"agences,locations,consultations"
ouvr. CFF.,transports
menuis.,"bois,liège,meubles"
emp.,"employés pour tous,célibataires"
chef de serv,"hôtellerie,restauration"
voyag.,transports
inst.,"construction,charpenterie"
giletière,"bijouterie,gravure,frappe"
empl. de banque,"banques,établissements financiers"
peintre,arts graphiques
repasseuse,industrie textile
appareilleur,"construction,charpenterie"
journalier,"journaliers,entretien"
garç. de peine,"journaliers,entretien"
g.-malades,employées pour le ménage et la ferme
rentier,"affaires immobilières,location"
représ.,commerce de détail
nég.,"banques,établissements financiers"
pension,"banques,établissements financiers"
polisseur,réparations
manœuv.,transports
ingén.,administration publique
appareil.,industrie des métaux
repass.,industrie textile
confections,industrie textile
prop.,"agences,locations,consultations"
profess.,"agences,locations,consultations"
mod.,arts graphiques
modeleur,industrie textile
monteur téléph.,"gaz,eau,éléctricité"
électricien,"gaz,eau,éléctricité"
m. de couture,industrie textile
mod.,arts graphiques
dessin.,arts graphiques
comm. banque,"banques,établissements financiers"
fabr. de malles,"bois,liège,meubles"
agricult.,employées pour le ménage et la ferme
architecte,"construction,charpenterie"
profess.,"agences,locations,consultations"
repas.,"hôtellerie,restauration"
repasseuse,industrie textile
ouv. de ville,"journaliers,entretien"
chauffeur C.F.F.,transports
institutrice,"agences,locations,consultations"
commis postal.,administration publique
brigad. de police,administration publique
anc. empr.,"employés pour tous,célibataires"
conduct. post.,transports
emp.,"employés pour tous,célibataires"
journalière,"journalières,entretien"
emp.,"employés pour tous,célibataires"
ex-allum. de gaz,"gaz,eau,éléctricité"
chassecr.,industrie textile
infirm.,employées pour le ménage et la ferme
empl,"employés pour tous,célibataires"
chauff. CFF.,transports
conduct. trams,transports
chef de serv.,"hôtellerie,restauration"
ouv. de ville,"journaliers,entretien"
gendarme,administration publique
g. laitier,produits alimentaires
chef de tr. C. F. F.,transports
électricien,"gaz,eau,éléctricité"
commis postal,transports
télégr.,transports
comm. de gend.,administration publique
instit.,administration publique
secrét.,bureaux de consultation
étud.,"agences,locations,consultations"
cafetier,"hôtellerie,restauration"
institutr.,administration publique
insp. d’assur.,assurances privées
instit.,administration publique
manœuv.,transports
feur,transports
emp.,"employés pour tous,célibataires"
caissier,commerce de détail
modes,"vêtements, lingerie,chaussures,literies"
papet.,industrie du papier
nég.,"banques,établissements financiers"
cafetier,"hôtellerie,restauration"
postal,transports
prof. de gym.,administration publique
chef de train C.F.F.,transports
rent.,"affaires immobilières,location"
cout.,industrie textile
chauff. d'auto,transports
journal.,arts graphiques
journalière,"journalières,entretien"
modes,"vêtements, lingerie,chaussures,literies"
Café du Raisin,"hôtellerie,restauration"
"cordon,","vêtements, lingerie,chaussures,literies"
f. de ch.,"construction,charpenterie"
détent. de kiosque,commerce de détail
concierge Casino-Théâtre,"hôtellerie,restauration"
cutier,"bijouterie,gravure,frappe"
typo.,arts graphiques
lingére,"vêtements, lingerie,chaussures,literies"
nég.,"banques,établissements financiers"
employée,employées pour le ménage et la ferme
cuisinière,"hôtellerie,restauration"
élève régent,administration publique
journaliste,arts graphiques
compt.,"banques,établissements financiers"
magas.,commerce de détail
fils,industrie des métaux
inst.,industrie chimique
f. de ch.,"construction,charpenterie"
rent.,"affaires immobilières,location"
portier,"journaliers,entretien"
pianiste,arts graphiques
boulang.,produits alimentaires
sténograp.,bureaux de consultation
profess.,"agences,locations,consultations"
cout.,industrie textile
inst.,administration publique
cout.,industrie textile
f. de cuisine,"hôtellerie,restauration"
chef d'équipe,"agences,locations,consultations"
dact.,bureaux de consultation
institutrice,"agences,locations,consultations"
g.-front.,transports
dom.,employées pour le ménage et la ferme
garde-malade,employées pour le ménage et la ferme
g. de laborat.,industrie chimique
voyag.,transports
voyag.,transports
ag. de police,administration publique
charpent.,"construction,charpenterie"
postillon,transports
voyag.,transports
dom.,employées pour le ménage et la ferme
électricien,"gaz,eau,éléctricité"
allum. de gaz,"gaz,eau,éléctricité"
dom.,employées pour le ménage et la ferme
régente,administration publique
empl. au gaz,"gaz,eau,éléctricité"
agricul.,employées pour le ménage et la ferme
lithogr.,arts graphiques
jardin.,"journaliers,entretien"
m. charpentier,"construction,charpenterie"
secrét. ass. vieillesse,assurances privées
repasse.,"vêtements, lingerie,chaussures,literies"
photogr.,arts graphiques
postal,transports
télégr.,transports
chauf. CFF.,transports
prof.,bureaux de consultation
repr.,commerce de détail
ingén.,administration publique
portier C. F. F.,"employés pour tous,célibataires"
sage-femme,employées pour le ménage et la ferme
rie,"journalières,entretien"
téléph.,transports
gendarme,administration publique
employé L.,"employés pour tous,célibataires"
sommpl.,"hôtellerie,restauration"
bur. du gaz,"gaz,eau,éléctricité"
cout.,"construction,charpenterie"
employée,employées pour le ménage et la ferme
exp. compt.,"banques,établissements financiers"
m. coutur.,industrie textile
journalier,"journaliers,entretien"
f. de ch.,"construction,charpenterie"
ferblant.,industrie des métaux
g.-malade,"journalières,entretien"
bonne,employées pour le ménage et la ferme
emp. banque,"banques,établissements financiers"
aide-magas.,commerce de détail
mécanic.,réparations
insp. d'ass.,assurances privées
emp.,"employés pour tous,célibataires"
lingère,"vêtements, lingerie,chaussures,literies"
mod.,arts graphiques
masseur,réparations
impr.,arts graphiques
fonct. postal,administration publique
empl. S.I.,"employés pour tous,célibataires"
jardin.,"journaliers,entretien"
nettoyeur CFF.,réparations
médecin.,"agences,locations,consultations"
s.-secr. dép. milit.,administration publique
chef de section,administration publique
huiss,"employés pour tous,célibataires"
nég.,"banques,établissements financiers"
instit.,administration publique
m. blanchisseuse,employées pour le ménage et la ferme
gouvernante,employées pour le ménage et la ferme
serrur,réparations
blanchisseuse,employées pour le ménage et la ferme
mont.,industrie des métaux
charpentier,"construction,charpenterie"
secrét.,bureaux de consultation
lithographe,arts graphiques
encaisseur,"banques,établissements financiers"
imprimerie,arts graphiques
secr.,"agences,locations,consultations"
tarifeur,"agences,locations,consultations"
serrurier,industrie des métaux
cout.,industrie textile
journ.,"journaliers,entretien"
empl. C. F. F.,"employés pour tous,célibataires"
boursier communal,administration publique
coussins,industrie textile
menuis.,"construction,charpenterie"
dent.,réparations
anc. cafetier,"hôtellerie,restauration"
coiffeur,commerce de détail
ouv. C. F. F. Cité Industrielle,industrie textile
mécan. au rouleau compress.,"construction,charpenterie"
aide au bur.,bureaux de consultation
ag. d'aff.,"agences,locations,consultations"
g. d'office,"agences,locations,consultations"
ferbl.,industrie des métaux
peint.,arts graphiques
mont.,horlogerie
ag. de police,administration publique
va- cher,vachers célibataires
prof. de boxe,"agences,locations,consultations"
bur. post.,bureaux de consultation
brossier,industrie du papier
cmpl,commerce de détail
primeurs,produits alimentaires
b. de récept.,"hôtellerie,restauration"
typo.,réparations
bonnetterie,industrie textile
laiterie,produits alimentaires
infirmiere,employées pour le ménage et la ferme
géom.,"agences,locations,consultations"
mé- nagère,employées pour le ménage et la ferme
chauf. taxi,transports
prof. de musique,arts graphiques
voyageur,transports
confiseur,produits alimentaires
m. blanchisseuse,employées pour le ménage et la ferme
secrét. du Théâtre,"agences,locations,consultations"
banquiers,"banques,établissements financiers"
commis postal,administration publique
veilleur de nuit CFF.,transports
blanchisseuse,employées pour le ménage et la ferme
sous-archiviste,administration publique
instit.,administration publique
photographe,arts graphiques
institut.,administration publique
gér.,"agences,locations,consultations"
pension,assurances privées
ingénieur,industrie chimique
instit.,administration publique
sténog.,bureaux de consultation
représ.,commerce de détail
emp.,"employés pour tous,célibataires"
journ.,"journaliers,entretien"
g. malades,"journalières,entretien"
dom.,employées pour le ménage et la ferme
peintre,arts graphiques
brasseur,produits alimentaires
peintre en voit,arts graphiques
instit.,administration publique
artiste,arts graphiques
gérant,"agences,locations,consultations"
employée,employées pour le ménage et la ferme
ing.-chim.,industrie chimique
insp. des bâtiments,administration publique
représentant,commerce de détail
lingère,"vêtements, lingerie,chaussures,literies"
compt.,"banques,établissements financiers"
cond. C. F.,
cafetier,"hôtellerie,restauration"
agronome,employées pour le ménage et la ferme
peintre,arts graphiques
boulang.,produits alimentaires
agenc. immob.,"affaires immobilières,location"
lingère,"vêtements, lingerie,chaussures,literies"
profes,"employés pour tous,célibataires"
domestique,employées pour le ménage et la ferme
instit.,administration publique
journalier,"journaliers,entretien"
étudi.,"agences,locations,consultations"
Dr médecin,"agences,locations,consultations"
aide à l’Hôpital,administration publique
journal.,arts graphiques
chiffon.,industrie textile
m. lingère,"vêtements, lingerie,chaussures,literies"
avocat,"agences,locations,consultations"
restaur.,"hôtellerie,restauration"
employé trams,transports
instit.,administration publique
jardin.,"journaliers,entretien"
nettoyeur,"journaliers,entretien"
pens de dem.,industrie du papier
ling.,"vêtements, lingerie,chaussures,literies"
épicer.,commerce de détail
cout.,"vêtements, lingerie,chaussures,literies"
pâtissier,produits alimentaires
juge de paix,administration publique
commerc.,commerce de détail
garde-malade,employées pour le ménage et la ferme
archit. C. F. F.,"construction,charpenterie"
restaur.-bouillon,"hôtellerie,restauration"
contról. T.L.,administration publique
primcurs,"journaliers,entretien"
aide radiolog.,"agences,locations,consultations"
pension-famille,"hôtellerie,restauration"
charretier,transports
mén,employées pour le ménage et la ferme
cond. C.F.F.,transports
g.-malade,"employés pour tous,célibataires"
nég.,"banques,établissements financiers"
archit.,"construction,charpenterie"
arch.,"construction,charpenterie"
prim.,industrie du papier
emp,"employés pour tous,célibataires"
fact. postal,administration publique
nég.,"banques,établissements financiers"
dessinateur,arts graphiques
commerce,commerce de détail
chauffeur C.F.F.,transports
employé postal,administration publique
boulang.,produits alimentaires
dentiste,"agences,locations,consultations"
tre,"bois,liège,meubles"
cond. C. F. F.,
blanchisseuse,employées pour le ménage et la ferme
employé T.L.,transports
repasseuse,industrie textile
emp. postal,administration publique
dessinat.,arts graphiques
marbrier,pierre et terre
entrepr.,"construction,charpenterie"
professeur,"agences,locations,consultations"
empl. C. F. F.,"employés pour tous,célibataires"
prof. de littér.,arts graphiques
primeurs,produits alimentaires
électr.,"gaz,eau,éléctricité"
ag. sûreté,assurances privées
ingénieur,industrie chimique
avocat,"agences,locations,consultations"
ag. d'aff.,"agences,locations,consultations"
chap.,"bois,liège,meubles"
instit.,administration publique
ingén.,industrie chimique
avocats,bureaux de consultation
jardin.,"journaliers,entretien"
vend. de journ.,"journaliers,entretien"
embalL,industrie du papier
poêlier,industrie du papier
lait.,produits alimentaires
monteur,"construction,charpenterie"
chef de bureau à la Direction de Police,administration publique
manœuv.,"journaliers,entretien"
off. Armée du Salut,administration publique
agriculteur,employées pour le ménage et la ferme
chef de serv.,"hôtellerie,restauration"
électricien,"gaz,eau,éléctricité"
cuisin.,produits alimentaires
cout.,industrie textile
fonct. post.,administration publique
m. coutur.,industrie textile
primeurs,produits alimentaires
cuisinier,"hôtellerie,restauration"
ing.,industrie chimique
professeur à l'Université,bureaux de consultation
nég.,"banques,établissements financiers"
banquier,"banques,établissements financiers"
emp.,"employés pour tous,célibataires"
lingère,"vêtements, lingerie,chaussures,literies"
appareilleur,"construction,charpenterie"
employé trams,transports
huissier-concierge,"agences,locations,consultations"
empl. téléphone,"agences,locations,consultations"
commis CFF.,transports
d'auto,réparations
voyag.,transports
technicien,bureaux de consultation
retier,réparations
instit.,administration publique
nég.,"banques,établissements financiers"
typo.,réparations
avocat,"agences,locations,consultations"
menuis.,"bois,liège,meubles"
appareill.,"construction,charpenterie"
domest.,employées pour le ménage et la ferme
primeurs,produits alimentaires
emp. C.F.F.,
char.,"journaliers,entretien"
institutrice,"agences,locations,consultations"
prof. de gym.,administration publique
cout.,"construction,charpenterie"
cafetier,"hôtellerie,restauration"
empl. télégr.,"gaz,eau,éléctricité"
garde-malade,employées pour le ménage et la ferme
relieur,industrie du papier
ramoneur,réparations
instit.,administration publique
comm. post.,transports
sténo-dactylogr.,bureaux de consultation
pharmac.,industrie chimique
entrepren.,"construction,charpenterie"
serrurier,industrie des métaux
commis postal,"agences,locations,consultations"
ferblantier,industrie des métaux
chauff. d'auto,transports
archit.,"construction,charpenterie"
méd.,"agences,locations,consultations"
ouv. de ville,"journaliers,entretien"
horloger,horlogerie
ling.,"vêtements, lingerie,chaussures,literies"
cordonn.,industrie textile
menuis.,"bois,liège,meubles"
charret.,transports
manœuv.,"journaliers,entretien"
infirm.,employées pour le ménage et la ferme
lingère,"vêtements, lingerie,chaussures,literies"
orfèvre,"bijouterie,gravure,frappe"
expert-comptable,"banques,établissements financiers"
gérant de la B. de Prêts sur gages,"banques,établissements financiers"
voyag.,transports
architecte,"construction,charpenterie"
prof.,"agences,locations,consultations"
brodeuse,industrie textile
repasseuse,industrie textile
inst.,administration publique
étud.,"agences,locations,consultations"
empl. CFF.,transports
cuisin.,produits alimentaires
journalier,"journaliers,entretien"
cuisin.,produits alimentaires
ag. de police,administration publique
g. de bur.,bureaux de consultation
ciment.,pierre et terre
lingère,"vêtements, lingerie,chaussures,literies"
employé trans.,transports
employé postal,administration publique
journal.,arts graphiques
dessin.,arts graphiques
horticulte.,"journaliers,entretien"
agriculteur,"employés pour tous,célibataires"
nég..,"banques,établissements financiers"
cout.,industrie textile
voyag.,transports
serrurier,industrie des métaux
épicière,commerce de détail
prof.,"agences,locations,consultations"
men.,"employés pour tous,célibataires"
architecte,"construction,charpenterie"
ag. de pol.,administration publique
rentièr.,"banques,établissements financiers"
électricien,"gaz,eau,éléctricité"
journalière,"journalières,entretien"
tailleuse,industrie textile
manuf. de papiers,industrie du papier
musicien,arts graphiques
charretier,transports
blanchisseuse,employées pour le ménage et la ferme
cordonn.,industrie textile
représ.,commerce de détail
tailleuse,industrie textile
vitrier,"construction,charpenterie"
vitrier,"construction,charpenterie"
prof. de piano,arts graphiques
tabacs,commerce de détail
dom.,employées pour le ménage et la ferme
maç.,"bois,liège,meubles"
cond. de trav.,administration publique
denrées,produits alimentaires
agriculteur,employées pour le ménage et la ferme
entrepren.,"construction,charpenterie"
gare,transports
ing.,industrie chimique
dessinn.,arts graphiques
ag. de sûreté,administration publique
anc. coiff.,commerce de détail
ag. de sûr.,assurances privées
électric.,"gaz,eau,éléctricité"
pharmac.,industrie chimique
institutrice,"agences,locations,consultations"
entrep.,"agences,locations,consultations"
à. de France,administration publique
dom,"construction,charpenterie"
f. de ch,employées pour le ménage et la ferme
serrur.,industrie des métaux
jardin.,"journaliers,entretien"
garde-malade,employées pour le ménage et la ferme
décorations,arts graphiques
peintre,arts graphiques
cordon.,"vêtements, lingerie,chaussures,literies"
chiffons,industrie textile
pierriste,pierre et terre
ouvrier de ville,"journaliers,entretien"
conduct. typo,transports
beurre,produits alimentaires
voyag.,transports
artiste,arts graphiques
biscuit.,produits alimentaires
riata,vachers célibataires
caiss.,commerce de détail
prof.,bureaux de consultation
élect.,"gaz,eau,éléctricité"
nettoyeur,réparations
agricul.,employées pour le ménage et la ferme
infirm.,employées pour le ménage et la ferme
chaudron.,industrie des métaux
serrur.,industrie des métaux
ferblantier,industrie des métaux
m. blanchisseuse,employées pour le ménage et la ferme
chauf. CFF.,transports
nég.,"banques,établissements financiers"
pens.-famille,employées pour le ménage et la ferme
ferblantiers,industrie des métaux
empl. CFF.,transports
cuisinière,"hôtellerie,restauration"
chauf. CFF.,transports
serrur.,industrie des métaux
coup.,"bois,liège,meubles"
bijoutier,"bijouterie,gravure,frappe"
commissionnaire,"agences,locations,consultations"
manœuv.,"journaliers,entretien"
rante,réparations
relieur,industrie du papier
cuisin.,produits alimentaires
prof.,bureaux de consultation
café,"hôtellerie,restauration"
dessinât.,arts graphiques
repass.,industrie textile
agriculteur,employées pour le ménage et la ferme
avocat,"agences,locations,consultations"
nég.,"banques,établissements financiers"
religieuse,administration publique
fabric.,industrie textile
instr. de mus.,arts graphiques
garç. de mag.,commerce de détail
commis CFF.,transports
étud.,"agences,locations,consultations"
instr. de mus.,arts graphiques
cuisinier,"hôtellerie,restauration"
chef. de train CFF,transports
étud.,bureaux de consultation
cuisin.,produits alimentaires
commissionnaire,"agences,locations,consultations"
aiguill. C.F.F.,transports
Dlle de mag.,commerce de détail
commis C. F. F.,commerce de détail
prim.,industrie du papier
batel.,transports
batelier,transports
représentant,commerce de gros
garde-malade,employées pour le ménage et la ferme
ébén.,"bois,liège,meubles"
jardin.,"journaliers,entretien"
hôtelier,"hôtellerie,restauration"
emp. T. L.,"employés pour tous,célibataires"
cuisinière,"hôtellerie,restauration"
peintre,arts graphiques
banque,"banques,établissements financiers"
poste,transports
domest.,employées pour le ménage et la ferme
macie,employées pour le ménage et la ferme
instit.,administration publique
prim.,industrie du papier
relieur,industrie du papier
uin François,administration publique
tailleur,"vêtements, lingerie,chaussures,literies"
anc. cafetier,"hôtellerie,restauration"
vannier,"bois,liège,meubles"
emp. CFF.,transports
fromages,produits alimentaires
charret.,transports
dentiste,réparations
cordonn.,"vêtements, lingerie,chaussures,literies"
domest.,employées pour le ménage et la ferme
relieur,industrie du papier
ing.,industrie chimique
chirurgien dent.,réparations
paveur,"construction,charpenterie"
ferblantier,industrie des métaux
emp. S. I.,"employés pour tous,célibataires"
cout,industrie textile
menuis.,"bois,liège,meubles"
cond. trams,transports
empl. L.-S.,"employés pour tous,célibataires"
reprès.,commerce de détail
cordonn.,industrie textile
boulang.,produits alimentaires
café,"hôtellerie,restauration"
gyps.-peintre,arts graphiques
monteur,réparations
cout.,"construction,charpenterie"
élect.,"gaz,eau,éléctricité"
entrepren.,"construction,charpenterie"
ag. sûreté,administration publique
rentier,"agences,locations,consultations"
empl,"employés pour tous,célibataires"
ajusteur,réparations
gardien,"journaliers,entretien"
monteur,"construction,charpenterie"
empl. de comm.,commerce de détail
g. de cuisine,"hôtellerie,restauration"
sculpteur,arts graphiques
empl. fonderie Perret,industrie des métaux
chef de serv. BCV,"banques,établissements financiers"
institut.,administration publique
terrassier,"construction,charpenterie"
méc.,industrie des métaux
vérificateur des poids,commerce de détail
nég.,"banques,établissements financiers"
ingén.,industrie chimique
empl. C. F. F.,"employés pour tous,célibataires"
gouvern.,administration publique
ajusteur,réparations
insp. d'ass.,assurances privées
cout.,"construction,charpenterie"
empl,"employés pour tous,célibataires"
encaiss. S.I.,"banques,établissements financiers"
blanchisseuse,employées pour le ménage et la ferme
fabr. de casquettes,industrie textile
coiffeuse,commerce de détail
voyageur,transports
boucher,produits alimentaires
journal.,arts graphiques
jardin.,"journaliers,entretien"
diaconesse,employées pour le ménage et la ferme
électric.,"gaz,eau,éléctricité"
tailleur,"vêtements, lingerie,chaussures,literies"
empl. C.F.F.,transports
papeterie,industrie du papier
instit.,administration publique
pension,assurances privées
sous-chef de gare,transports
coif.,arts graphiques
nég.,"banques,établissements financiers"
instituttr.,"agences,locations,consultations"
ingén.,industrie chimique
typo.,réparations
casserolier,"hôtellerie,restauration"
plâtrier,"construction,charpenterie"
couturier,"vêtements, lingerie,chaussures,literies"
empl. C.F.F.,transports
infirmière,employées pour le ménage et la ferme
journal.,arts graphiques
menuis.,"bois,liège,meubles"
major,administration publique
commis post,administration publique
empl. de commerce,commerce de détail
mécàn. C.F.F.,industrie des métaux
institutrice,"agences,locations,consultations"
mis C. F. F.,
peintre,arts graphiques
chauff. CFF.,transports
retraité,administration publique
nég.,"banques,établissements financiers"
représentant,"agences,locations,consultations"
chef de bureau C.F.F.,administration publique
emp.,"employés pour tous,célibataires"
ameublements,"bois,liège,meubles"
coiff.,commerce de détail
garde-malade,employées pour le ménage et la ferme
infirm.,"employés pour tous,célibataires"
sergent gend.,administration publique
ouv.,"journaliers,entretien"
gendarme,administration publique
sténog.,bureaux de consultation
emp. postal,administration publique
gérante,"agences,locations,consultations"
emp.,"employés pour tous,célibataires"
journal.,arts graphiques
cout.,"construction,charpenterie"
ing. dir. CFF.,transports
agronome,employées pour le ménage et la ferme
serrur.,industrie des métaux
prof. à l’Ecole d’ingén.,administration publique
gérant,"agences,locations,consultations"
