job,answer
assistante de faculté,administration publique
assistante dentaire,"agences,locations,consultations"
assistante maternelle,employées pour le ménage et la ferme
assistante sociale,administration publique
assistante technique aux travaux publics d'état,administration publique
assistante-technicienne,"agences,locations,consultations"
associé de commerce de plomberie,commerce de gros
associé plombier,"construction,charpenterie"
assureur,assurances privées
assureur conseil,assurances privées
assureur-vie,assurances privées
atcivil,"construction,charpenterie"
atmosphériste,arts graphiques
attacheur,"construction,charpenterie"
attaché,"agences,locations,consultations"
attaché administratif de la marine,administration publique
attaché administratif retraité,administration publique
attaché administratif à la cff,administration publique
attaché assistant à la faculté médecine,administration publique
attaché au crédit foncier,"banques,établissements financiers"
attaché au plm,"agences,locations,consultations"
attaché au service des ventes,commerce de détail
attaché aux affaires algériennes,administration publique
attaché aux messageries maritimes,transports
attaché commercial,commerce de détail
attaché commercial de banque,"banques,établissements financiers"
attaché d'administration,administration publique
attaché d'administration aux chemins de fer du midi,administration publique
attaché d'ambassade,administration publique
attaché de banque,"banques,établissements financiers"
attaché de cabinet juridique,"agences,locations,consultations"
attaché de cabinet à la préfecture du lot,administration publique
attaché de direction,bureaux de consultation
attaché de direction à la brba,"banques,établissements financiers"
attaché de gérance crédit lausannenais,"banques,établissements financiers"
attaché de ministère,administration publique
attaché de presse,arts graphiques
attaché de préfecture,administration publique
attaché de résidence,administration publique
attaché à la cff,transports
attaché à la société maritime veritas,transports
attaché à une maison de banque,"banques,établissements financiers"
attachée commerciale,commerce de détail
attachée d'administration centrale,administration publique
attachée d'information,"agences,locations,consultations"
attachée de direction,"agences,locations,consultations"
atteleur,transports
aubergiste,"hôtellerie,restauration"
aubergiste confiseur,"hôtellerie,restauration"
aubergiste cultivateur,"hôtellerie,restauration"
aubergiste et cultivateur,"hôtellerie,restauration"
aubergiste et laboureur,"hôtellerie,restauration"
aubergiste et maréchal ferrant,"hôtellerie,restauration"
aubergiste et maître d'hôtel,"hôtellerie,restauration"
aubergiste et maître de poste,"hôtellerie,restauration"
aubergiste et propriétaire,"hôtellerie,restauration"
aubergiste et tonnelier,"hôtellerie,restauration"
aubergiste laboureur,"hôtellerie,restauration"
aubergiste maître d'hôtel,"hôtellerie,restauration"
aubergiste propriétaire,"hôtellerie,restauration"
aubergiste tonnelier,"hôtellerie,restauration"
auditeur,bureaux de consultation
auditeur conseil état,administration publique
auditrice,bureaux de consultation
aumussier,"employés pour tous,célibataires"
auteur,arts graphiques
auteur cinématographique,arts graphiques
auteur dramatique,arts graphiques
autocariste,transports
automobiliste,transports
autoélectricien,réparations
aux armées,administration publique
auxiliaire,"employés pour tous,célibataires"
auxiliaire cantonnier,"journaliers,entretien"
auxiliaire commercial,commerce de détail
auxiliaire contrôleur des poids et mesures,administration publique
auxiliaire d'enseignement,administration publique
auxiliaire de bureau,bureaux de consultation
auxiliaire de clinique,réparations
auxiliaire de mairie,administration publique
auxiliaire de poste,transports
auxiliaire de préfecture,administration publique
auxiliaire de puériculture,employées pour le ménage et la ferme
auxiliaire de vie,employées pour le ménage et la ferme
auxiliaire du trésor,"banques,établissements financiers"
auxiliaire médical,réparations
auxiliaire postes et télécommmunications,"gaz,eau,éléctricité"
auxiliaire puéricultrice,employées pour le ménage et la ferme
auxiliaire routier,transports
auxiliaire à l'équipe de chemins de fer d'orléans,transports
auxiliaire à la manufacture de tabacs,industrie du papier
aviateur,transports
aviateur au camp de bagotville,administration publique
aviateur-chef,transports
aviation suisse,transports
aviatrice,transports
aviculteur,employées pour le ménage et la ferme
avicultrice,employées pour le ménage et la ferme
avironier,transports
avocat,"agences,locations,consultations"
avocat au barreau d'avignon,"agences,locations,consultations"
avocat défenseur,"agences,locations,consultations"
avocat et avoué,"agences,locations,consultations"
avocat et bâtonnier,bureaux de consultation
avocat et conseiller municipal,administration publique
avocat et juge de paix,administration publique
avocat et juge suppléant,"agences,locations,consultations"
avocat et juge suppléant au tribunal,administration publique
avocat et notaire,bureaux de consultation
avocat et propriétaire,"agences,locations,consultations"
avocat général,administration publique
avocat stagiaire,bureaux de consultation
avocat à la cour,bureaux de consultation
avocat à la cour d'appel,"agences,locations,consultations"
avocat à la cour d'appel de lausanne,"agences,locations,consultations"
avocat à la cour d'appel et sénateur,administration publique
avocat à la cour de lausanne,bureaux de consultation
avocat à la cour impériale,"agences,locations,consultations"
avocat à la cour royale de lausanne,"agences,locations,consultations"
avocate,"agences,locations,consultations"
avoué,"agences,locations,consultations"
avoué au tribunal,"agences,locations,consultations"
avoué au tribunal civil,"agences,locations,consultations"
avoué licencié en droit,"agences,locations,consultations"
avoué près la cour,"agences,locations,consultations"
avoué près la cour d'appel,"banques,établissements financiers"
avoué près le tribunal civil de la seine,"agences,locations,consultations"
avoué près le tribunal de montaigu,"agences,locations,consultations"
aya,employées pour le ménage et la ferme
ayah,employées pour le ménage et la ferme
aérographieuse,arts graphiques
babouchier,"vêtements, lingerie,chaussures,literies"
bachelier,"employés pour tous,célibataires"
bachelier en musique,arts graphiques
bachelière,employées pour le ménage et la ferme
badestamier,"bijouterie,gravure,frappe"
badigeonneur,
badostamier,industrie du papier
badostamière,industrie du papier
bagagiste,transports
bagnard,administration publique
baigneur,réparations
baigneuse,employées pour le ménage et la ferme
bainiste,"banques,établissements financiers"
balaitier,réparations
balancier,"construction,charpenterie"
balayeur,"journaliers,entretien"
balayeuse,"journalières,entretien"
balezaux,pierre et terre
balezeux,"bois,liège,meubles"
baliveur,vachers célibataires
baloteur,industrie du papier
bancbrocheur,"bijouterie,gravure,frappe"
bancbrocheuse,industrie textile
bandagiste,réparations
banquier,"banques,établissements financiers"
baratteur,industrie du papier
barattier,industrie du papier
barbeur,réparations
barbier,arts graphiques
barbier chirurgien,arts graphiques
barbier-coiffeur,arts graphiques
barbouilleur,arts graphiques
bardeautier,industrie du papier
barmaid,"hôtellerie,restauration"
barman,"hôtellerie,restauration"
baron,administration publique
baron commandant général en retraite,administration publique
baron d'issan,administration publique
baron et chevalier lh,administration publique
baron et lieutenant général,administration publique
baron et lieutenant général et commandant lh,administration publique
basculeur,"construction,charpenterie"
basculeur aux mines,industrie des métaux
basculeuse,"construction,charpenterie"
bassecourier,transports
bassecourière,employées pour le ménage et la ferme
batelier,transports
batelier pilote,transports
batelière,transports
batteur,"journaliers,entretien"
batteur d'or,"bijouterie,gravure,frappe"
batteur de grains,employées pour le ménage et la ferme
batteur de laine,industrie textile
batteur de soute,industrie des métaux
batteur d’étain,industrie des métaux
batteur en grange,"journaliers,entretien"
batteurs de laine,industrie textile
batteuse,industrie du papier
batteuse d'or,"bijouterie,gravure,frappe"
batteuse de coton,industrie textile
batteuse d’étain,industrie des métaux
baudroyer,"construction,charpenterie"
baudroyeur,"construction,charpenterie"
bayle agricole,employées pour le ménage et la ferme
bayle au colombier,employées pour le ménage et la ferme
beater engeneer,industrie des métaux
bechalter,commerce de détail
bedeau,"journaliers,entretien"
bell boy,"hôtellerie,restauration"
berger,vachers célibataires
berger et laboureur,employées pour le ménage et la ferme
berger et militaire,"employés pour tous,célibataires"
berger laboureur,employées pour le ménage et la ferme
bergère,employées pour le ménage et la ferme
betteravier,produits alimentaires
betteravière,industrie du papier
beurrier,produits alimentaires
beurrier-fromager,produits alimentaires
bibliotechnicien,bureaux de consultation
bibliothècaire,bureaux de consultation
bibliothécaire,bureaux de consultation
bijoutier,"bijouterie,gravure,frappe"
bijoutier fabricant,"bijouterie,gravure,frappe"
bijoutier joaillier,"bijouterie,gravure,frappe"
bijoutier-horloger,horlogerie
bijoutière,"bijouterie,gravure,frappe"
bimbelotier,"bijouterie,gravure,frappe"
bimbelotière,"bijouterie,gravure,frappe"
biochimiste,industrie chimique
biodynamiste,produits alimentaires
biologiste,industrie chimique
biscottier,produits alimentaires
biscuitier,produits alimentaires
biscuitière,produits alimentaires
biseauteur,"bijouterie,gravure,frappe"
biseauteur de glaces,"hôtellerie,restauration"
biseauteur et soldat,industrie des métaux
biseauteur sur glace,"journaliers,entretien"
biseur de verre,
bitumier,"construction,charpenterie"
bière,produits alimentaires
blactier,industrie du papier
bladier,industrie du papier
blancher de lins,industrie textile
blancheur de lins,industrie textile
blancheur de toiles,industrie textile
blanchisseur,industrie textile
blanchisseur de bois,"bois,liège,meubles"
blanchisseur de fils,industrie textile
blanchisseur de linge,industrie textile
blanchisseur de toiles,industrie textile
blanchisseur en bois,"bois,liège,meubles"
blanchisseuse,employées pour le ménage et la ferme
blanchisseuse de fin,employées pour le ménage et la ferme
blanchisseuse de neuf,employées pour le ménage et la ferme
blaonnier,"bois,liège,meubles"
blatier,industrie du papier
blatière,pierre et terre
blavetier,industrie textile
blowpitman,industrie des métaux
bluteur,industrie du papier
bobineur,industrie textile
bobineur électricien,"gaz,eau,éléctricité"
bobineuse,industrie textile
bobinier,industrie textile
bobinière,industrie textile
bochier,"construction,charpenterie"
bodyguard,réparations
boguier,"bois,liège,meubles"
boiseur,"bois,liège,meubles"
boiseur cimentier,pierre et terre
boiseuse,"bois,liège,meubles"
boisselier,"bois,liège,meubles"
boitier,"bijouterie,gravure,frappe"
boitière,"bois,liège,meubles"
bolengier,industrie du papier
bonisseur,réparations
bonissier,industrie textile
bonne,employées pour le ménage et la ferme
bonne d'enfants,employées pour le ménage et la ferme
bonne d’enfants,employées pour le ménage et la ferme
bonne à tout faire,employées pour le ménage et la ferme
bonnetier,industrie textile
bonnetière,industrie textile
bookmaker,commerce de détail
bordager,"construction,charpenterie"
bordagère,employées pour le ménage et la ferme
bordeuse en bottines,"vêtements, lingerie,chaussures,literies"
bordier,industrie du papier
bordier cultivateur,employées pour le ménage et la ferme
bordier à la forêt,"bois,liège,meubles"
bordière,industrie textile
boschier,"bois,liège,meubles"
boss machine tender,industrie des métaux
bossier,"bois,liège,meubles"
botaniste,industrie chimique
botrèsse,employées pour le ménage et la ferme
botteleur,industrie des métaux
bottelier,commerce de détail
bottier,"vêtements, lingerie,chaussures,literies"
bottier au 1er spahis,"vêtements, lingerie,chaussures,literies"
bottier orthopédiste,"vêtements, lingerie,chaussures,literies"
bottière,"vêtements, lingerie,chaussures,literies"
botîrèsse,"vêtements, lingerie,chaussures,literies"
boucanier,vachers célibataires
boucher,produits alimentaires
boucher charcutier,produits alimentaires
boucher chevalin,produits alimentaires
boucher coquetier,produits alimentaires
boucher d'étal,produits alimentaires
boucher et aubergiste,"hôtellerie,restauration"
boucher et cultivateur,produits alimentaires
boucher et marchand,commerce de détail
boucher et marchand de vaches,produits alimentaires
boucher et propriétaire,produits alimentaires
boucher expéditeur,produits alimentaires
boucher propriétaire,produits alimentaires
boucher-épicier,produits alimentaires
boucheteur,industrie du papier
boucheuse,réparations
bouchonnier,industrie du papier
bouchonnière,"bijouterie,gravure,frappe"
bouchoteur,industrie du papier
bouchère,produits alimentaires
bouchère et débitante,commerce de détail
bouclier de fer,industrie des métaux
boudineur de coton,industrie textile
boudineuse de coton,industrie textile
boudinier,produits alimentaires
bouffisseur,produits alimentaires
bouffon du roi,arts graphiques
bouhélier,industrie du papier
bouilleur,industrie chimique
bouilleur ambulant,industrie chimique
bouilleur d'eau de vie,industrie chimique
bouilleur de crû,industrie chimique
boulanger,produits alimentaires
boulanger cultivateur,produits alimentaires
boulanger de marine,produits alimentaires
boulanger de pâte en croûte,produits alimentaires
boulanger et aubergiste,produits alimentaires
boulanger et caporal,produits alimentaires
boulanger et cultivateur,produits alimentaires
boulanger et epicier et cafetier,produits alimentaires
boulanger et propriétaire,produits alimentaires
boulanger et épicier et cafetier,produits alimentaires
boulanger pâtissier,produits alimentaires
boulangère,produits alimentaires
boulengier,produits alimentaires
boulonnier,industrie des métaux
bouloteur,"journaliers,entretien"
bouquetière,commerce de détail
bouquier,industrie du papier
bouquiniste,commerce de détail
bourgemestre,administration publique
bourgeois,"banques,établissements financiers"
bourgeois cultivateur,employées pour le ménage et la ferme
bourgeois et cultivateur,"agences,locations,consultations"
bourgeois et tisserand,industrie textile
bourgeoise,employées pour le ménage et la ferme
bourgmestre,administration publique
bourreau,administration publique
bourrelier,
bourrelier sellier,industrie textile
bourrelière,"bijouterie,gravure,frappe"
boursier,"banques,établissements financiers"
boursiers et corroyeurs  de cuir blanc,industrie textile
boutefeu,horlogerie
boutiquer,commerce de détail
boutiquier,commerce de détail
boutiquière,commerce de détail
boutonnier,industrie textile
boutonnière,"bijouterie,gravure,frappe"
bouvier,vachers célibataires
bouvière,employées pour le ménage et la ferme
boyaudier,industrie chimique
boyaudière,industrie textile
braceor,industrie des métaux
bracier,industrie du papier
bradier,"employés pour tous,célibataires"
bralier de fil,industrie textile
brancardier,administration publique
brandevinier,produits alimentaires
brandevinière,produits alimentaires
brasseur,produits alimentaires
brasseur cabaretier,produits alimentaires
brasseur de bière,produits alimentaires
brasseur de cidre,produits alimentaires
brasseur et cordonnier,
brasseur et tonnelier,produits alimentaires
brasseuse,produits alimentaires
brassier,industrie textile
brassieur,industrie textile
brassière,"vêtements, lingerie,chaussures,literies"
brayeur,industrie du papier
bricteur,"construction,charpenterie"
brigadier,administration publique
brigadier armurier,industrie des métaux
brigadier au château de pau,administration publique
brigadier cff,transports
brigadier chef,administration publique
brigadier chef au régiment de dragons,administration publique
brigadier chef de police,administration publique
brigadier chef des douanes,administration publique
brigadier chef trompette,administration publique
brigadier de gendarmerie,administration publique
brigadier de gendarmerie de marine,administration publique
brigadier de gendarmerie en retraite et légion d'honneur,administration publique
brigadier de gendarmerie retraité,administration publique
brigadier de gendarmerie royale,administration publique
brigadier de la garde municipale de la concession suisse,administration publique
brigadier de la garde républicaine,administration publique
brigadier de la gendarmerie royale,administration publique
brigadier de la sûreté,administration publique
brigadier de police,administration publique
brigadier de police en retraite,administration publique
brigadier de police privée,assurances privées
brigadier des douanes,administration publique
brigadier des douanes en retraite,administration publique
brigadier des eaux et forêts,administration publique
brigadier des forets,administration publique
brigadier des gardes champêtres,administration publique
brigadier des gardiens de la paix,administration publique
brigadier et sergent de ville,administration publique
brigadier forestier,administration publique
brigadier forestier en retraite,administration publique
brigadier garde-champêtre,administration publique
brigadier garde-pêche,administration publique
brigadier gendarme,administration publique
brigadier jaugeur à l'octroi de lausanne,administration publique
brigadier manutentionnaire cff,transports
brigadier national des impôts,administration publique
brigadier poseur au chemin de fer,transports
brigadier poseur au plm,"construction,charpenterie"
brigadier sergent de ville,administration publique
brigadier trompette,administration publique
brigadier à cheval,transports
brigadier à l'octroi,administration publique
brigadier à la manutention des vivres,produits alimentaires
briqueteur,pierre et terre
briqueteur fumiste,"construction,charpenterie"
briqueteur à la cie d'arvida,industrie du papier
briqueteur-maçon,"construction,charpenterie"
briquetier,industrie des métaux
briquetière,"bijouterie,gravure,frappe"
briquettier,pierre et terre
briquier,industrie du papier
briseur,industrie du papier
briseur de grès,pierre et terre
briseur de pierres,pierre et terre
brocanteur,commerce de détail
brocanteur antiquaire,commerce de détail
brocanteuse,commerce de détail
brocheur,"bijouterie,gravure,frappe"
brocheur en imprimerie,arts graphiques
brocheuse,"bijouterie,gravure,frappe"
brochéor,"bijouterie,gravure,frappe"
brodeur,arts graphiques
brodeuse,industrie textile
brodeuse de bas,industrie textile
brodeuse en coton,industrie textile
brodeuse en soie,industrie textile
broker,"agences,locations,consultations"
brosseur,réparations
brossier,industrie du papier
brossière,"bijouterie,gravure,frappe"
brouetteur de bière,transports
brouetteuse de bière,"hôtellerie,restauration"
brouettier,"journaliers,entretien"
broyeur,industrie des métaux
broyeur de lin,industrie textile
brunisseur,"bijouterie,gravure,frappe"
brunisseur polisseur,"bijouterie,gravure,frappe"
brunisseuse,industrie du papier
brégier,industrie du papier
brésilleur,industrie textile
brûleur,industrie chimique
buandier,employées pour le ménage et la ferme
buandière,employées pour le ménage et la ferme
bucheron,"bois,liège,meubles"
bucheronne,"journalières,entretien"
budelier,"bijouterie,gravure,frappe"
buffetier,"hôtellerie,restauration"
buffetière,"hôtellerie,restauration"
buffetière de la gare,"hôtellerie,restauration"
buletier,"bois,liège,meubles"
buletère,"employés pour tous,célibataires"
bulleur,industrie du papier
bulleuse,industrie chimique
buraliste,commerce de détail
buraliste des contributions indirectes,administration publique
buraliste et chevalier lh,commerce de détail
buronnier,"employés pour tous,célibataires"
buteiller,employées pour le ménage et la ferme
bâtonnier,bureaux de consultation
bâtonnier de l'ordre des avocats,bureaux de consultation
bâtonnier des avocats,"agences,locations,consultations"
bédéiste,arts graphiques
bétonneur,"construction,charpenterie"
bétonneuse,"construction,charpenterie"
bétonnier,pierre et terre
bétuliculteur,"bois,liège,meubles"
bétulicultrice,employées pour le ménage et la ferme
bêcheur,"journaliers,entretien"
bûcheresse,"bois,liège,meubles"
bûcheron,"bois,liège,meubles"
bûcheronne,"bois,liège,meubles"
bûcheur,"bois,liège,meubles"
cabaretier,"hôtellerie,restauration"
cabaretier et cultivateur,"hôtellerie,restauration"
cabaretier et tailleur d'habits,"vêtements, lingerie,chaussures,literies"
cabaretière,"hôtellerie,restauration"
cabaretière et cultivatrice,employées pour le ménage et la ferme
cabarotier,"hôtellerie,restauration"
cabinettarde,"bois,liège,meubles"
cabinier,"bois,liège,meubles"
cabinière,"bois,liège,meubles"
cableur,industrie des métaux
cacaoculteur,produits alimentaires
cacaocultrice,produits alimentaires
cadre,bureaux de consultation
cadre administratif,administration publique
cadre artistique,arts graphiques
cadre bancaire,"banques,établissements financiers"
cadre cff,transports
cadre commercial,commerce de détail
cadre d'entreprise,"agences,locations,consultations"
cadre de banque,"banques,établissements financiers"
cadre de banque retraité chevalier légion d'honneur,"banques,établissements financiers"
cadre de direction,administration publique
cadre de l'aéroport de lausanne,administration publique
cadre de l'industrie,industrie chimique
cadre de l'éducation nationale,administration publique
cadre des transports,transports
cadre export,commerce de gros
cadre industriel prince,industrie du papier
cadre juridique,administration publique
cadre snpa,"banques,établissements financiers"
cadre supérieur,administration publique
cadre sylvicole,"bois,liège,meubles"
cadre sécurité sociale,administration publique
cadre technique,bureaux de consultation
cadre électricité,"gaz,eau,éléctricité"
cafetier,"hôtellerie,restauration"
cafetier aubergiste et propriétaire,"hôtellerie,restauration"
cafetier cantonnier,"hôtellerie,restauration"
cafetier menuisier,"construction,charpenterie"
cafetier restaurateur,"hôtellerie,restauration"
cafetière,"hôtellerie,restauration"
café et tabacs,commerce de détail
caféiculteur,produits alimentaires
caféicultrice,produits alimentaires
caféier,"hôtellerie,restauration"
caissier,commerce de détail
caissier au crédit francais,"banques,établissements financiers"
caissier au journal le matin,commerce de détail
caissier comptable,"banques,établissements financiers"
caissier comptable des mines,industrie des métaux
caissier d'agent de change,"banques,établissements financiers"
caissier de commerce,commerce de détail
caissier de coopérative agricole,commerce de détail
caissier de la corporation des industries du bâtiment,administration publique
caissier du baron mercier,commerce de détail
caissier à la banque suisse nationale,"banques,établissements financiers"
caissier à la caisse d'épargne,"banques,établissements financiers"
caissier à la conservation des hypothèques,"banques,établissements financiers"
caissier à la recette des finances,"banques,établissements financiers"
caissier à la société générale,"banques,établissements financiers"
caissier-comptable,"banques,établissements financiers"
caissière,commerce de détail
caissière comptable cff,"banques,établissements financiers"
caissière dans une banque,"banques,établissements financiers"
caissière vendeuse,commerce de détail
caissière-vendeuse,commerce de détail
calandreur,industrie textile
calfat,"construction,charpenterie"
calfat portefaix,transports
calibreur,réparations
calibreur en porcelaine,pierre et terre
calibreur en poterie,pierre et terre
calibriste,industrie des métaux
calicotier,industrie textile
calorifugeur,"construction,charpenterie"
calqueur,arts graphiques
calqueuse,arts graphiques
cambiste,"banques,établissements financiers"
cambusier,transports
camelot,"vêtements, lingerie,chaussures,literies"
camier,transports
camionneur,transports
camionneur aux chemins de fer de l'état,transports
camionneur à la cie potvin,transports
camionneuse,transports
camp manager,"agences,locations,consultations"
camériste,employées pour le ménage et la ferme
candidat au notariat,bureaux de consultation
candidat en droit,bureaux de consultation
candidat en médecin,"agences,locations,consultations"
candidat en pharmacie,industrie chimique
candidat en philosophie et lettres,arts graphiques
candidat en sciences,bureaux de consultation
candidat huissier,"agences,locations,consultations"
candidat notaire,"agences,locations,consultations"
candidat à l'enregistrement,"agences,locations,consultations"
cannabiculteur,produits alimentaires
cannabicultrice,produits alimentaires
canneuse,industrie textile
cannier,"bois,liège,meubles"
cannière,industrie du papier
canonnier,industrie des métaux
canonnier de l'artillerie coloniale,administration publique
canonnier de marine,industrie des métaux
canonnier en retraite,administration publique
canonnier garde-côte,administration publique
canonnier marin,transports
canonnier sédentaire,administration publique
canonnier vétéran,administration publique
canonnier à pau,industrie des métaux
cantinier,"hôtellerie,restauration"
cantinier à la forteresse,"hôtellerie,restauration"
cantinière,"hôtellerie,restauration"
cantonnier,"journaliers,entretien"
cantonnier au ,"journaliers,entretien"
cantonnier aux chemins de fer,transports
cantonnier auxiliaire,"journaliers,entretien"
cantonnier casseur de pierres,pierre et terre
cantonnier cff,transports
cantonnier chef,administration publique
cantonnier communal,administration publique
cantonnier cultivateur,"journaliers,entretien"
cantonnier de ville,administration publique
cantonnier des ponts et chaussées,"construction,charpenterie"
cantonnier des voies ferrées,transports
cantonnier en retraite,administration publique
cantonnier et casseur de pierres,pierre et terre
cantonnier et cultivateur,"journaliers,entretien"
cantonnier et propriétaire,administration publique
cantonnier garde-champêtre,administration publique
cantonnier municipal,administration publique
cantonnier principal cff,transports
cantonnier propriétaire,administration publique
cantonnier retraité,administration publique
cantonnier rural,"journaliers,entretien"
cantonnier sur la route de lausanne à bordeaux,transports
cantonnier vicinal,"journaliers,entretien"
cantonnier vicinal retraité,administration publique
cantonnier à la cff,transports
cantonnier à la ville,administration publique
cantonnier à la ville de lausanne,administration publique
cantonnier éboueur,"journaliers,entretien"
cantonnière,"journaliers,entretien"
caoutchoutier,industrie chimique
caoutchoutière,industrie chimique
capilliculteur,industrie textile
capillicultrice,
capitaine,transports
capitaine adjudant major,administration publique
capitaine armée us,administration publique
capitaine au 4e ri,administration publique
capitaine au long cours,transports
capitaine au parc artillerie,administration publique
capitaine au parc d'artillerie,administration publique
capitaine aux usa,administration publique
capitaine aviateur,transports
capitaine chasseur d'infanterie,administration publique
capitaine d'artillerie,administration publique
capitaine d'artillerie en retraite,administration publique
capitaine d'aviation,transports
capitaine d'infanterie,administration publique
capitaine d'infanterie coloniale,administration publique
capitaine d'infanterie de marine,administration publique
capitaine d'infanterie en non activité,administration publique
capitaine d'infanterie et chevalier de la lh et de l'ordre d,administration publique
capitaine d'infanterie retraité,administration publique
capitaine d'état major,administration publique
capitaine de bateau,transports
capitaine de carrière,pierre et terre
capitaine de cavalerie,administration publique
capitaine de cavalerie en retraite,administration publique
capitaine de chaloupe,transports
capitaine de commerce,commerce de détail
capitaine de corvette,transports
capitaine de frégate er et officier légion d'honneur,administration publique
capitaine de frégate retraité,administration publique
capitaine de gendarmerie,administration publique
capitaine de gendarmerie retraité,administration publique
capitaine de goélette,transports
capitaine de marine,transports
capitaine de navire,transports
capitaine de navire marchand,transports
capitaine de police,administration publique
capitaine de port,transports
capitaine de vaisseau,transports
capitaine de vaisseau en retraite et officier de la lh,administration publique
capitaine de vaisseau et commandeur légion d'honneur,administration publique
capitaine des douanes,administration publique
capitaine des navires de commerce,transports
capitaine du génie,administration publique
capitaine du génie et chevalier lh,industrie des métaux
capitaine en armée,administration publique
capitaine en pensionné,administration publique
capitaine en retraite,administration publique
capitaine en retraite et chevalier de l'ordre royal de la lé,administration publique
capitaine en retraite et chevalier de la lh,administration publique
capitaine en retraite et chevalier de saint-louis,administration publique
capitaine en retraite et chevalier lh,administration publique
capitaine en retraite et vicomte,administration publique
capitaine en retraité,administration publique
capitaine et chevalier lh,administration publique
capitaine et chevalier médaille militaire et croix de guerre,administration publique
capitaine marin,transports
capitaine marinier,transports
capitaine propriétaire,transports
capitaine retraité,administration publique
capitaine retraité au service de la suisse,administration publique
capitaine vétérinaire,administration publique
capitaine état major sub rouen,administration publique
caporal,administration publique
caporal au régiment d'artois,administration publique
caporal chef,administration publique
caporal chef de l'armée de l'air,administration publique
caporal d'artillerie,administration publique
caporal d'aviation,administration publique
caporal d'infanterie,administration publique
caporal et maçon,"construction,charpenterie"
caporal tambour,administration publique
caporal à la pharmacie,industrie chimique
caporal-instructeur,administration publique
car,transports
carabinier,administration publique
carabinier du prince de monaco,administration publique
caravanier,transports
caravanière,"hôtellerie,restauration"
carbonnier,industrie du papier
cardeur,industrie textile
cardeur de coton,industrie textile
cardeur de laine,industrie textile
cardeur de soie,industrie textile
cardeur en laine,industrie textile
cardeur en soie,industrie textile
cardeur à laine,industrie textile
cardeuse,industrie textile
cardeuse (de laine,industrie textile
cardeuse de bourrette,industrie textile
cardeuse de laine,industrie textile
cardeuse de lin,industrie textile
carillonneur,arts graphiques
cariste,transports
carlinguier,"construction,charpenterie"
carman,transports
carossier,industrie du papier
carreleur,"construction,charpenterie"
carreleuse,"construction,charpenterie"
carreur,transports
carrier,transports
carrier de pierres,pierre et terre
carrier marchand de pierres,pierre et terre
carrier mineur,industrie des métaux
carrier surveillant,transports
carrier trancheur,"bois,liège,meubles"
carrieur,transports
carrossier,réparations
carrossier en voitures,réparations
carrossier forgeron,industrie des métaux
carrossier peintre,réparations
carrossier peintre automobile,réparations
cartière,industrie du papier
cartographe,arts graphiques
cartonneur,industrie du papier
cartonnier,industrie du papier
cartonnier en retraite,industrie du papier
cartonnière,industrie du papier
cartouchier,industrie des métaux
caréneur,"construction,charpenterie"
casquetier,industrie textile
casquetière,industrie textile
casquettier,industrie textile
casseron de meuniers,industrie des métaux
casseur,réparations
casseur de bois,"bois,liège,meubles"
casseur de grès,pierre et terre
casseur de pierres,pierre et terre
casseur de pierres cantonnier,"journaliers,entretien"
casseur de pierres et cantonnier,"construction,charpenterie"
casseuse de cailloux,pierre et terre
casseuse de pierres,pierre et terre
castanéiculteur,produits alimentaires
castanéicultrice,employées pour le ménage et la ferme
catcheur,"employés pour tous,célibataires"
caucassier,industrie du papier
cavalier,vachers célibataires
cavalier de la maréchaussée,administration publique
cavalier de manège,transports
caviste,commerce de détail
caviste de restaurant,"hôtellerie,restauration"
ceinturier,
censeur de l'église,administration publique
cercayrès,industrie du papier
cercleur,"bois,liège,meubles"
cerclier,industrie du papier
cervoisier,"bois,liège,meubles"
cessionnaire de chemin de fer,transports
cgp,"banques,établissements financiers"
cgpi,"gaz,eau,éléctricité"
chagrinier,industrie textile
chagrinière,industrie du papier
chaircuitier,industrie du papier
chaisier,"bois,liège,meubles"
chaisier cultivateur,employées pour le ménage et la ferme
chaisière,industrie textile
chaloupier,transports
chalumeur,industrie du papier
chalumiste,"construction,charpenterie"
chambellan,"employés pour tous,célibataires"
chambrier,"employés pour tous,célibataires"
chambrière,employées pour le ménage et la ferme
chamelier,vachers célibataires
chamelière,industrie textile
chamoiseur,réparations
chamoiseuse,employées pour le ménage et la ferme
champignonnier,produits alimentaires
champignonniste,produits alimentaires
chandelier,"bijouterie,gravure,frappe"
chandelier de suif,industrie chimique
chandelon,horlogerie
chanevacier,"bois,liège,meubles"
chanfreineur,industrie des métaux
chansonnier,arts graphiques
chanteur,arts graphiques
chanteur ambulant,arts graphiques
chanteuse,arts graphiques
chanteuse ambulante,arts graphiques
chantourneur sur bois,"bois,liège,meubles"
chantre,arts graphiques
chantre laïque,arts graphiques
chanvier,"construction,charpenterie"
chanvreur,industrie textile
chanvriculteur,industrie textile
chanvricultrice,industrie textile
chanvrier,"construction,charpenterie"
chanvrière,industrie textile
chapelain,administration publique
chapelier,"vêtements, lingerie,chaussures,literies"
chapelier de coton,industrie textile
chapelier de feutre,industrie textile
chapelier de fleurs,arts graphiques
chapelier de paon,industrie textile
chapelier et actuellement soldat,"vêtements, lingerie,chaussures,literies"
chapelier fourreur,"vêtements, lingerie,chaussures,literies"
chapelière,industrie textile
chapuiseur,industrie textile
charbonnier,industrie du papier
charbonnière,industrie du papier
